pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3577097,udp,192.168.100.149,55957,8.8.8.8,53,12689,0,12,0.007815,2,0.007815,14,0,0,0.007815,0,Normal,Normal
3577101,udp,fe80::250:56ff:febe:e9d9,5353,ff02::fb,5353,13896,0,1,0,4,0,3,0,0,0,0,Normal,Normal
3577121,arp,192.168.100.1,-1,192.168.100.3,-1,17793,0,3,2.00E-05,2,2.00E-05,7,0,0,2.00E-05,0,Normal,Normal
3577125,udp,192.168.100.149,43314,192.168.217.2,53,20427,0,14,0,4,0,18,0,0.399822,0,0,Normal,Normal
3577128,udp,192.168.100.148,56344,8.8.8.8,53,21458,0,14,0.007357,2,0.007357,19,0,0,0.007357,0,Normal,Normal
3577131,udp,192.168.100.147,40684,8.8.8.8,53,22462,0,18,0.008054,2,0.008054,19,0,0,0.008054,0,Normal,Normal
3577135,udp,192.168.100.147,38275,192.168.217.2,53,23527,0,18,0,4,0,18,0,0.399866,0,0,Normal,Normal
3577136,udp,192.168.100.148,37551,192.168.217.2,53,23513,0,14,0,4,0,18,0,0.400018,0,0,Normal,Normal
3577137,udp,192.168.100.150,34222,8.8.8.8,53,23543,0,18,0.006721,2,0.006721,19,0,0,0.006721,0,Normal,Normal
3577143,udp,192.168.100.147,35587,192.168.217.2,53,27539,0,18,0,4,0,18,0,0.399823,0,0,Normal,Normal
3577148,udp,192.168.100.147,44499,8.8.8.8,53,30657,0,18,0.007337,2,0.007337,19,0,0,0.007337,0,Normal,Normal
3577152,udp,192.168.100.150,36951,8.8.8.8,53,31709,0,18,0.007909,2,0.007909,19,0,0,0.007909,0,Normal,Normal
3577153,udp,192.168.100.149,54806,8.8.8.8,53,31738,0,14,0.007011,2,0.007011,19,0,0,0.007011,0,Normal,Normal
3577156,udp,192.168.100.147,40191,8.8.8.8,53,31872,0,18,0.007486,2,0.007486,19,0,0,0.007486,0,Normal,Normal
3577164,tcp,192.168.100.3,59552,13.55.154.73,8883,41,1.368135,6,0.006303,2,4.225939,1,0.815743,0.815743,4.999998,0,Normal,Normal
3577169,udp,192.168.100.46,80,192.168.100.5,80,5,0.007544,3,4.950444,4,4.966808,3,0,19.93346,4.997833,0,Normal,Normal
3577182,udp,192.168.100.150,40888,224.0.0.251,5353,4226,0,18,0,4,0,21,0,0,0,0,Normal,Normal
3577184,udp,192.168.100.148,46101,224.0.0.251,5353,4234,0,14,0,4,0,21,0,0,0,0,Normal,Normal
3577187,udp,192.168.100.150,53016,224.0.0.251,5353,4241,0,18,0,4,0,21,0,0,0,0,Normal,Normal
3577203,udp,192.168.100.147,58949,224.0.0.251,5353,4287,0,11,0,4,0,8,0,0,0,0,Normal,Normal
3577207,udp,192.168.100.147,53363,192.168.217.2,53,5335,0,11,0,4,0,20,0,0.400023,0,0,Normal,Normal
3577210,arp,192.168.100.148,-1,192.168.100.1,-1,6340,5.20E-05,20,4.60E-05,2,0.000115,10,0.002335,0.002335,0.000191,0,Normal,Normal
3577215,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,8513,0,1,0,8,0,3,0,0,0,0,Normal,Normal
3577216,udp,192.168.100.149,38685,27.124.125.250,123,8557,0,9,0.048481,2,0.048481,3,0,0,0.048481,0,Normal,Normal
3577220,udp,192.168.100.148,56984,27.124.125.250,123,12642,0,20,0.04829,2,0.04829,3,0,0,0.04829,0,Normal,Normal
3577223,udp,192.168.100.27,58999,192.168.100.1,53,17094,0,4,0.180937,2,0.180937,10,0,0,0.180937,0,Normal,Normal
3577233,udp,192.168.100.150,46295,192.168.217.2,53,17475,0,11,0,4,0,20,0,0.400001,0,0,Normal,Normal
3577237,udp,192.168.100.147,42779,192.168.217.2,53,17499,0,11,0,4,0,20,0,0.399832,0,0,Normal,Normal
3577254,udp,192.168.100.149,58139,192.168.217.2,53,26978,0,9,0,4,0,20,0,0.399829,0,0,Normal,Normal
3577255,udp,192.168.100.147,41246,192.168.217.2,53,26992,0,11,0,4,0,20,0,0.399844,0,0,Normal,Normal
3577256,udp,192.168.100.148,46862,8.8.8.8,53,27021,0,20,0.007215,2,0.007215,15,0,0,0.007215,0,Normal,Normal
3577257,udp,192.168.100.148,59637,224.0.0.251,5353,1617,0,20,0,4,0,8,0,0,0,0,Normal,Normal
3577259,udp,192.168.100.148,46152,224.0.0.251,5353,1671,0,20,0,4,0,8,0,0,0,0,Normal,Normal
3577262,udp,192.168.100.148,55376,192.168.217.2,53,1835,0,20,0,4,0,20,0,0.399831,0,0,Normal,Normal
3577264,udp,192.168.100.148,37054,8.8.8.8,53,1883,0,20,0.007235,2,0.007235,15,0,0,0.007235,0,Normal,Normal
3577266,arp,192.168.100.27,-1,192.168.100.1,-1,3060,2.20E-05,4,6.80E-05,2,9.30E-05,10,0.002486,0.002486,0.000122,0,Normal,Normal
3577272,tcp,192.168.100.6,80,192.168.100.3,80,8,0.058922,1,4.448159,2,4.882988,4,0,6.897131,4.999998,0,Normal,Normal
3577281,udp,192.168.100.3,36968,192.33.14.30,53,3666,0,29,0.010919,2,0.010919,2,0,0,0.010919,0,Normal,Normal
3577283,udp,192.168.100.3,40018,192.58.128.30,53,3672,0,29,0.015716,2,0.015716,3,0,0,0.015716,0,Normal,Normal
3577287,udp,192.168.100.3,52460,205.251.196.160,53,3677,0,29,0.009688,2,0.009688,2,0,0,0.009688,0,Normal,Normal
3577289,udp,192.168.100.3,56558,192.33.4.12,53,3679,0,29,0.168275,2,0.168275,1,0,0,0.168275,0,Normal,Normal
3577290,udp,192.168.100.3,47696,205.251.199.148,53,3682,0,29,0.350171,2,0.350171,2,0,0,0.350171,0,Normal,Normal
3577298,udp,192.168.100.3,43648,192.54.112.30,53,3697,0,29,0.197034,2,0.197034,2,0,0,0.197034,0,Normal,Normal
3577299,udp,192.168.100.3,41483,192.5.5.241,53,3698,0,29,0.027934,2,0.027934,2,0,0,0.027934,0,Normal,Normal
3577300,udp,192.168.100.3,1285,192.5.5.241,53,3699,0,29,0.027786,2,0.027786,2,0,0,0.027786,0,Normal,Normal
3577301,udp,192.168.100.3,47904,192.5.5.241,53,3700,0,74,0.028228,2,0.028228,3,0,0,0.028228,0,Normal,Normal
3577309,udp,192.168.100.3,43980,205.251.194.86,53,3715,0,74,0.294063,2,0.294063,2,0,0,0.294063,0,Normal,Normal
3577310,udp,192.168.100.3,30187,205.251.199.194,53,3716,0,74,0.340996,2,0.340996,1,0,0,0.340996,0,Normal,Normal
3577311,udp,192.168.100.3,61382,192.12.94.30,53,3717,0,74,0.166266,2,0.166266,4,0,0,0.166266,0,Normal,Normal
3577319,udp,192.168.100.3,26308,205.251.194.201,53,3727,0,74,0.281482,2,0.281482,2,0,0,0.281482,0,Normal,Normal
3577327,udp,192.168.100.3,31685,205.251.196.32,53,3735,0,74,0.009492,2,0.009492,2,0,0,0.009492,0,Normal,Normal
3577328,udp,192.168.100.3,16569,205.251.196.32,53,3736,0,74,0.009461,2,0.009461,2,0,0,0.009461,0,Normal,Normal
3577330,udp,192.168.100.3,50452,192.55.83.30,53,3743,0,74,0.167449,2,0.167449,1,0,0,0.167449,0,Normal,Normal
3577335,udp,192.168.100.3,40306,192.41.162.30,53,3765,0,74,0.169052,2,0.169052,4,0,0,0.169052,0,Normal,Normal
3577337,udp,192.168.100.3,20916,199.19.56.1,53,3767,0,74,0.257886,2,0.257886,2,0,0,0.257886,0,Normal,Normal
3577342,udp,192.168.100.3,13875,205.251.197.206,53,3776,0,74,0.01041,2,0.01041,2,0,0,0.01041,0,Normal,Normal
3577343,udp,192.168.100.3,8005,205.251.197.206,53,3778,0,74,0.009961,2,0.009961,2,0,0,0.009961,0,Normal,Normal
3577347,udp,192.168.100.3,52681,205.251.195.59,53,3784,0,74,0.283913,2,0.283913,2,0,0,0.283913,0,Normal,Normal
3577356,udp,192.168.100.3,56446,192.52.178.30,53,3807,0,74,0.167859,2,0.167859,1,0,0,0.167859,0,Normal,Normal
3577357,udp,192.168.100.3,36242,205.251.194.102,53,3808,0,74,0.293476,2,0.293476,2,0,0,0.293476,0,Normal,Normal
3577360,udp,192.168.100.3,20844,192.31.80.30,53,3816,0,74,0.280742,2,0.280742,2,0,0,0.280742,0,Normal,Normal
